artist,url,artist_country,location,date_string,insta,spotify,rf_short_description,m_rating,l_rating,comment,emoji_beskrivelse,start_time,new_date_string,start_datetime
070 Shake,https://www.roskilde-festival.dk/da/years/2023/acts/070-shake/,US,🚀 Apollo,20:00 Torsdag 29. juni 2023,https://www.instagram.com/070shake/,https://open.spotify.com/artist/12Zk1DFhCbHY6v3xep2ZjI,Amerikansk raptalent fornyer hiphoppen og gør den futuristisk. ,🤡Wildcard, ,"well-produced pop but not really touching me. But there's a few electronic songs she's sung on, so this could get pretty wild",🎤🇺🇸💫🚀,20:00,29jun 2023,2023-06-29 20:00:00+02:00
Abji_Hypersun Feat. Moraya,https://www.roskilde-festival.dk/da/years/2023/acts/abji_hypersun-feat-moraya/,DK,Platform,00:15 Onsdag 28. juni 2023,https://www.instagram.com/abji_hypersun/,https://open.spotify.com/artist/5t15kyeJJYD6BnJ6s8J1Rt?si=G6CO5FOoS460YUUNBfSy-A,"En drømmende, teatralsk og radikal performance dedikeret til modstandens ånd ",😌Tømmermændsmusik, ,"det er lidt for funky til mig, det her", ,00:15,28jun 2023,2023-06-29 00:15:00+02:00
Aches,https://www.roskilde-festival.dk/da/years/2023/acts/aches/,IE,🏟️ Festival Site,Onsdag 28. juni 2023,https://www.instagram.com/achesdub/,,Street-artist skaber en unik verden af farveudtryk på Roskilde Festival , , , , ,13:37,28jun 2023,2023-06-28 13:37:00+02:00
Adekunle Gold,https://www.roskilde-festival.dk/da/years/2023/acts/adekunle-gold/,NG,👩 Eos,15:15 Fredag 30. juni 2023,https://www.instagram.com/adekunlegold/,https://open.spotify.com/artist/2IK173RXLiCSQ8fhDlAb3s,Nigerianske Adekunle Gold bygger bro mellem moderne pop og afrobeat.,👍Ja,👍Ja,smooth-chill afrikansk pop-hiphop, ,15:15,30jun 2023,2023-06-30 15:15:00+02:00
Adédèjì,https://www.roskilde-festival.dk/da/years/2023/acts/ad%C3%A9d%C3%A8j%C3%AC/,NG,🏝️ Avalon,00:30 Fredag 30. juni 2023,https://www.instagram.com/adedejinfo/,https://open.spotify.com/artist/0oMrlKaHe7umhMhnx3NIP6?si=E-MnJD2kSsWmP-L9YJ8W1w,Sjælfuld musiker tager dig på groovy rejse gennem Lagos  , , , , ,00:30,30jun 2023,2023-07-01 00:30:00+02:00
Afskum,https://www.roskilde-festival.dk/da/years/2023/acts/afskum/,,👩 Eos,17:30 Lørdag 1. juli 2023,https://www.instagram.com/afskumerfarlig/,https://open.spotify.com/playlist/5W0vbpdNlcuIw2N1S5Cr8C,Den kompromisløse sanger er klar til atter at rive tæppet væk under publikum med intenst show , , , , ,17:30,1jul 2023,2023-07-01 17:30:00+02:00
Agnes Hartwich,https://www.roskilde-festival.dk/da/years/2023/acts/agnes-hartwich/,DK,👩 Eos,16:15 Søndag 25. juni 2023,https://www.instagram.com/agneshartwich/?hl=da,https://open.spotify.com/artist/5dannHlHirCopWH6vT2DpX?si=ZktaXKJeQxesi90mJzbLEQ,Fremadstormende rockhåb sætter strøm til ungdommens længsel, , , , ,16:15,25jun 2023,2023-06-25 16:15:00+02:00
Aitch,https://www.roskilde-festival.dk/da/years/2023/acts/aitch/,UK,👩 Eos,19:30 Lørdag 1. juli 2023,https://www.instagram.com/aitch/,https://open.spotify.com/artist/2PJEagPIxaBugeMjIyKVXF?si=_f9C3ehoRQik3whWPGR5gA,Ung engelsk komet forener fremadskuende rap med Manchesters legendariske musikarv, , , , ,19:30,1jul 2023,2023-07-01 19:30:00+02:00
Alex/Alexandra Jönsson,https://www.roskilde-festival.dk/da/years/2023/acts/alexalexandra-joensson/,DK,⛺ Campsite,Søndag 25. juni 2023,https://www.instagram.com/ajonssonstudio/,,Kunstner undersøger adfærd og omsorg i midlertidige festfællesskaber  , , , , ,13:37,25jun 2023,2023-06-25 13:37:00+02:00
Alice Glass,https://www.roskilde-festival.dk/da/years/2023/acts/alice-glass/,CA,🚀 Apollo,21:45 Fredag 30. juni 2023,https://www.instagram.com/_alice_glass/,https://open.spotify.com/artist/4ukk0IyB7vL97QirpOcNr3?si=AdqZaMijRFSXgZ55e_ylew,Personlige dæmoner uddrives med gotisk synthpop.,👍Ja,🤡Wildcard,hvis de spiller sent om aftenen kan vi godt tage til rave-party, ,21:45,30jun 2023,2023-06-30 21:45:00+02:00
